,INCIDENTNEIGHBORHOOD,OFFENSES
182,Beechview,3921 Theft by Unlawful Taking or Disposition. / 3925 Receiving Stolen Property. / 3304 Criminal Mischief. / 3928 Unauthorized Use of Automobile and Other Vehicles. / 1.3(1) Own or Operate a Chop Shop
1352,Beechview,9994 PFA Service
1350,Beechview,9994 PFA Service
1447,Beechview,2701 Simple Assault.
1403,Beechview,9999 9999 - (Misc. Incident): 
2953,Beechview,2709(a) Harassment.
194,Beechview,029 Missing Juvenile
2032,Beechview,3743 Accidents Involving Damage to Attended Veh. or Property
1847,Beechview,3502 Burglary. / 3921 Theft by Unlawful Taking or Disposition. / 3503 Criminal Trespass
442,Beechview,2705 Recklessly Endangering Another Person. / 6110.1 Possesion of Firearm by Minor
1784,Beechview,2501 Criminal Homicide.
2130,Beechview,9497 Aided Case
1773,Beechview,"2709(a)(1) Harassment by Physical Contact, or Attempts or Threats / 5505 Public Drunkenness / 3503(b)(1)(iii) Defiant Trespass - Fencing or Other Enclosure"
323,Beechview,2701 Simple Assault.
2153,Beechview,9498 302 (Mental)
2194,Beechview,2701 Simple Assault.
493,Beechview,3743 Accidents Involving Damage to Attended Veh. or Property / 1786 Required Financial Responsibility. / 1301 Registration and Certificate of Title Required.
515,Beechview,3934 Theft from Vehicle
2272,Beechview,4120 Identity Theft
2283,Beechview,4120 Identity Theft / 4106 Access Device Fraud
1597,Beechview,2709 Harassment (Non-Specific)
546,Beechview,3503(b.1) Criminal Trespass - Simple Trespasser
553,Beechview,3304 Criminal Mischief.
2327,Beechview,3745 Accidents Involving Damage to Unattended Veh.or Prop.
554,Beechview,"2709(a)(1) Harassment by Physical Contact, or Attempts or Threats"
2381,Beechview,3922 Theft by Deception.
1964,Beechview,3745 Accidents Involving Damage to Unattended Veh.or Prop.
1626,Beechview,3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another
1966,Beechview,3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another
2685,Beechview,9496 Dead on Arrival (DOA)
2826,Beechview,9993 PFA Service with Weapons Supplement
2810,Beechview,3701 Robbery. / 903 Criminal Conspiracy.
1236,Beechview,4101 Forgery. / 4105(a)(1) Bad Checks / 4120 Identity Theft
2574,Beechview,3502 Burglary. / 2706 Terroristic Threats. / 2701 Simple Assault. / 2718(a)(1) Strangulation - Applying Pressure to the Throat or Neck
766,Beechview,13(a)(32) Paraphernalia - Use or Possession / 13(a)(16) Possession of Controlled Substance / 4303 General Lighting Requirements. / 9501 Bench Warrant / 1543 Driving While Operating Privilege is Suspended or Revoked. / 1511 Carrying and Exhibiting Driver's License on Demand. / 1301 Registration and Certificate of Title Required. / 1786 Required Financial Responsibility.
1019,Beechview,601.04 (d) (1) Apartment to Apartment 0700-2200 >10 dB(c) 2200-0700 >5dB(c)
924,Beechview,3922 Theft by Deception. / 4120 Identity Theft
2781,Beechview,3921(a) Theft by Unlawful Taking or Disposition - Movable item
893,Beechview,3934 Theft from Vehicle
36,Beechview,3745 Accidents Involving Damage to Unattended Veh.or Prop.
2581,Beechview,9496 Dead on Arrival (DOA)
1127,Beechview,9999 9999 - (Misc. Incident): 
1086,Beechview,"2709(a)(1) Harassment by Physical Contact, or Attempts or Threats"
735,Beechview,9998 Overdose Other
2752,Beechview,2501 Criminal Homicide.
1084,Beltzhoover,3934 Theft from Vehicle
1122,Beltzhoover,9492 Dog Bite
2584,Beltzhoover,607.03 Discharging Firearm or Airgun
2710,Beltzhoover,3743 Accidents Involving Damage to Attended Veh. or Property / 1786 Required Financial Responsibility. / 3744 Duty to Give Information and Render Aid / 3736 Reckless Driving
2312,Beltzhoover,9012 Non-Violent Domestic
472,Beltzhoover,029 Missing Juvenile
533,Beltzhoover,9994 PFA Service
1539,Beltzhoover,901 Criminal Attempt
561,Beltzhoover,9999 9999 - (Misc. Incident): 
1028,Beltzhoover,4120 Identity Theft
494,Beltzhoover,029 Missing Juvenile
572,Beltzhoover,4106 Access Device Fraud / 4120 Identity Theft
1673,Beltzhoover,9999 9999 - (Misc. Incident): property not returned
1052,Beltzhoover,9994 PFA Service
1521,Beltzhoover,9504 Lost Property
2718,Beltzhoover,"2709(a)(1) Harassment by Physical Contact, or Attempts or Threats"
578,Beltzhoover,9994 PFA Service
2155,Beltzhoover,2701 Simple Assault.
668,Beltzhoover,9999 9999 - (Misc. Incident): PFA service Gun Relinquishment
2568,Beltzhoover,9994 PFA Service
973,Beltzhoover,9496 Dead on Arrival (DOA)
1937,Beltzhoover,9994 PFA Service
391,Beltzhoover,3743 Accidents Involving Damage to Attended Veh. or Property
417,Beltzhoover,9993 PFA Service with Weapons Supplement
644,Beltzhoover,2701 Simple Assault.
823,Beltzhoover,4915 Failure to Comply with Megans Law
1595,Bloomfield,9993 PFA Service with Weapons Supplement
2026,Bloomfield,4106 Access Device Fraud
1312,Bloomfield,9999 9999 - (Misc. Incident): 
2693,Bloomfield,2709(a) Harassment. / 3304 Criminal Mischief.
848,Bloomfield,9495 Suicide
2939,Bloomfield,3745 Accidents Involving Damage to Unattended Veh.or Prop.
521,Bloomfield,3921(a) Theft by Unlawful Taking or Disposition - Movable item
1618,Bloomfield,"2709(a)(1) Harassment by Physical Contact, or Attempts or Threats"
373,Bloomfield,"2701(a)(1) Simple Assault - Intent., Know., Reckless.Cause Bod. Injury"
1920,Bloomfield,9999 9999 - (Misc. Incident): 
2281,Bloomfield,3745 Accidents Involving Damage to Unattended Veh.or Prop. / 1786 Required Financial Responsibility.
252,Bloomfield,3745 Accidents Involving Damage to Unattended Veh.or Prop.
1978,Bloomfield,2706 Terroristic Threats.
263,Bloomfield,9489 Found Property
1765,Bloomfield,9999 9999 - (Misc. Incident): 
873,Bloomfield,3745 Accidents Involving Damage to Unattended Veh.or Prop.
883,Bloomfield,3503(b)(1)(iii) Defiant Trespass - Fencing or Other Enclosure
784,Bloomfield,3921(a) Theft by Unlawful Taking or Disposition - Movable item
1789,Bloomfield,3745 Accidents Involving Damage to Unattended Veh.or Prop.
448,Bloomfield,3929 Retail Theft.
2840,Bloomfield,9999 9999 - (Misc. Incident): 
470,Bloomfield,3745 Accidents Involving Damage to Unattended Veh.or Prop.
1831,Bloomfield,3304 Criminal Mischief.
2084,Bloomfield,3745 Accidents Involving Damage to Unattended Veh.or Prop.
1833,Bloomfield,9501 Bench Warrant
1739,Bloomfield,2702 Aggravated Assault. / 8106 Shots Fired / 9999 9999 - (Misc. Incident): Male shot most likely outside of the city
1021,Bloomfield,9130 Graffiti Investigation
758,Bloomfield,3921 Theft by Unlawful Taking or Disposition.
1029,Bloomfield,3304 Criminal Mischief.
2878,Bloomfield,2702 Aggravated Assault.
291,Bloomfield,9999 9999 - (Misc. Incident): 
1842,Bloomfield,3922 Theft by Deception.
1686,Bloomfield,"3304(a)(4) CRIMINAL MISCHIEF- Intentionally Damage Property (By Graffiti, Aerosol Spray Paint, Broad Tip Marker, or Similar) / 9130 Graffiti Investigation"
2887,Bloomfield,3922 Theft by Deception.
851,Bloomfield,3745 Accidents Involving Damage to Unattended Veh.or Prop.
2485,Bloomfield,901 Criminal Attempt
2253,Bloomfield,3502 Burglary.
2313,Bloomfield,2501 Criminal Homicide. / 2707.1 Discharge of a Firearm into Occupied Structure / 2705 Recklessly Endangering Another Person. / 6106 Firearms not to be Carried without a License.
698,Bloomfield,9999 9999 - (Misc. Incident): 
2357,Bloomfield,9497 Aided Case
1172,Bloomfield,4106 Access Device Fraud
584,Bloomfield,2709(a) Harassment. / 3304 Criminal Mischief.
726,Bloomfield,3745 Accidents Involving Damage to Unattended Veh.or Prop.
1470,Bloomfield,2701(b)(1) Simple Assault - Fight or Scuffle Entered by Mutual Consent
2347,Bloomfield,3921 Theft by Unlawful Taking or Disposition.
2396,Bloomfield,3304 Criminal Mischief. / 3745 Accidents Involving Damage to Unattended Veh.or Prop. / 3746 Immediate Notice of Accident to Police Department
1454,Bloomfield,3921 Theft by Unlawful Taking or Disposition.
2427,Bloomfield,3929 Retail Theft.
1428,Bloomfield,3929 Retail Theft.
1401,Bloomfield,2701 Simple Assault.
1301,Bloomfield,3743 Accidents Involving Damage to Attended Veh. or Property
2526,Bloomfield,3745 Accidents Involving Damage to Unattended Veh.or Prop.
2575,Bloomfield,9999 9999 - (Misc. Incident): 
2607,Bloomfield,9497 Aided Case
1472,Bloomfield,3745 Accidents Involving Damage to Unattended Veh.or Prop.
106,Bloomfield,3929 Retail Theft.
1123,Bloomfield,3745 Accidents Involving Damage to Unattended Veh.or Prop.
2655,Bloomfield,3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another
708,Bloomfield,3921 Theft by Unlawful Taking or Disposition.
2619,Bloomfield,9496 Dead on Arrival (DOA)
123,Bluff,9999 9999 - (Misc. Incident): 
2053,Bluff,5505 Public Drunkenness
1850,Bluff,9017 Found Drugs
2706,Bluff,3743 Accidents Involving Damage to Attended Veh. or Property
2570,Bluff,3934 Theft from Vehicle / 3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another
2861,Bluff,3503(b)(1)(ii) Defiant Trespass Notice Posted by Sign(s)
2888,Bluff,9994 PFA Service
2713,Bluff,3921 Theft by Unlawful Taking or Disposition.
2577,Bluff,9497 Aided Case
2837,Bluff,9136 Commitment to Await Requisition
942,Bluff,"3701 Robbery. / 2701 Simple Assault. / 6105(a)(1) Persons not to possess, use, manufacture, control, sell or transfer firearms: Former Convict enumerated in subsection (b)"
2398,Bluff,9017 Found Drugs
2397,Bluff,9999 9999 - (Misc. Incident): 
2644,Bluff,3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another
2820,Bluff,2701(a)(3) Simple Assault - Attempts by Physical Menace 
2152,Bluff,13(a)(32) Paraphernalia - Use or Possession / 13(a)(16) Possession of Controlled Substance / 9501 Bench Warrant
203,Bluff,3921 Theft by Unlawful Taking or Disposition.
87,Bluff,9999 9999 - (Misc. Incident):  / 3353 Prohibitions in Specified Places.
1462,Bluff,9999 9999 - (Misc. Incident): Damage to personal property (Vehicle)
2558,Bluff,9017 Found Drugs
858,Bluff,"2709(a)(1) Harassment by Physical Contact, or Attempts or Threats"
208,Bluff,3702 Robbery of Motor Vehicle.
1305,Bluff,"2709(a)(1) Harassment by Physical Contact, or Attempts or Threats / 3923 Theft by Extortion."
2298,Bluff,2709 Harassment (Non-Specific) / 2701 Simple Assault. / 2904 Interference with Custody of Children. / 5517 Unauthorized School Bus Entry
3,Bluff,9490 Missing Persons (18 and Over)
381,Bluff,9994 PFA Service
1353,Bluff,3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another
538,Bluff,3921 Theft by Unlawful Taking or Disposition.
1935,Bluff,3503 Criminal Trespass
822,Bluff,4915 Failure to Comply with Megans Law
1929,Bluff,9501 Bench Warrant
821,Bluff,4915 Failure to Comply with Megans Law
1380,Bluff,3745 Accidents Involving Damage to Unattended Veh.or Prop.
629,Bluff,9504 Lost Property
2004,Bluff,8106 Shots Fired
1897,Bluff,3304 Criminal Mischief.
2024,Bluff,3934 Theft from Vehicle
156,Bluff,8106 Shots Fired
412,Bluff,13(a)(32) Paraphernalia - Use or Possession
660,Bluff,9497 Aided Case
1280,Bluff,9999 9999 - (Misc. Incident): 9999 - (Misc. Incident): 9999 - (Misc. Incident): 9999 - (Misc. Incident):  Investigation to continue o
1872,Bluff,9497 Aided Case
2800,Bluff,3921 Theft by Unlawful Taking or Disposition.
2145,Bluff,3934 Theft from Vehicle / 3304 Criminal Mischief.
2593,Bluff,2701 Simple Assault.
298,Bluff,9497 Aided Case
1485,Bluff,9497 Aided Case
112,Bluff,3921(a) Theft by Unlawful Taking or Disposition - Movable item
2204,Bluff,3743 Accidents Involving Damage to Attended Veh. or Property / 1543 Driving While Operating Privilege is Suspended or Revoked. / 1785 Proof of Financial Responsibility Following Accident.
580,Bluff,3743 Accidents Involving Damage to Attended Veh. or Property / 1785 Proof of Financial Responsibility Following Accident. / 3742 Accidents Involving Death or Personal Injury
499,Bluff,3934 Theft from Vehicle
2363,Bluff,3502 Burglary.
58,Bluff,9489 Found Property
1032,Bluff,3502 Burglary. / 9501 Bench Warrant
2195,Bluff,13(a)(32) Paraphernalia - Use or Possession / 9501 Bench Warrant / 4914 False Identification to Law Enforcement Authorities
1036,Bluff,5503(a)(4) DISORDERLY CONDUCT - HAZARDOUS/PHYS. OFF
1156,Bluff,9999 9999 - (Misc. Incident): 
1667,Bluff,13(a)(16) Possession of Controlled Substance / 13(a)(32) Paraphernalia - Use or Possession / 9501 Bench Warrant / 13(a)(31)(i) Marijuana - Possess Small Amt for Personal Use
2719,Bluff,9993 PFA Service with Weapons Supplement
2746,Bluff,2709(a) Harassment.
516,Bluff,3921 Theft by Unlawful Taking or Disposition. / 4106 Access Device Fraud
1160,Bluff,9998 Overdose Other
76,Bluff,"3701 Robbery. / 2701 Simple Assault. / 6105(a)(1) Persons not to possess, use, manufacture, control, sell or transfer firearms: Former Convict enumerated in subsection (b)"
2269,Bluff,"2709(a)(1) Harassment by Physical Contact, or Attempts or Threats"
2271,Bluff,3934 Theft from Vehicle / 3304 Criminal Mischief.
2358,Bluff,3921 Theft by Unlawful Taking or Disposition.
2191,Bluff,3928 Unauthorized Use of Automobile and Other Vehicles.
1729,Bluff,9498 302 (Mental)
1459,Bluff,5503(a)(4) DISORDERLY CONDUCT - HAZARDOUS/PHYS. OFF / 9015 Failure To Appear/Arrest on Attachment Order / 9501 Bench Warrant / 3503.B1I DEF. TRESPASS ACTUAL COMMUNICATION
1738,Bluff,3934 Theft from Vehicle / 3304 Criminal Mischief.
49,Bluff,9129 Miscellaneous Investigation
2167,Bluff,3304 Criminal Mischief.
2176,Bluff,3701 Robbery. / 2701 Simple Assault. / 2705 Recklessly Endangering Another Person. / 2903 False Imprisonment. / 2718(a)(1) Strangulation - Applying Pressure to the Throat or Neck
1489,Bluff,3702 Robbery of Motor Vehicle.
2729,Bon Air,3502 Burglary. / 9999 9999 - (Misc. Incident): Copper from vacant house
1748,Bon Air,2701 Simple Assault. / 3304 Criminal Mischief.
2818,Bon Air,3743 Accidents Involving Damage to Attended Veh. or Property / 3714 Careless Driving
324,Bon Air,3921(a) Theft by Unlawful Taking or Disposition - Movable item
2380,Bon Air,9489 Found Property
309,Bon Air,9999 9999 - (Misc. Incident): 
68,Bon Air,9999 9999 - (Misc. Incident): 
220,Bon Air,3503(a) Criminal Trespass
2096,Bon Air,3743 Accidents Involving Damage to Attended Veh. or Property
1241,Bon Air,2701 Simple Assault.
795,Bon Air,9999 9999 - (Misc. Incident): 
528,Bon Air,3743 Accidents Involving Damage to Attended Veh. or Property
1813,Bon Air,3921 Theft by Unlawful Taking or Disposition.
620,Brighton Heights,9093 Indirect Criminal Contempt
568,Brighton Heights,9496 Dead on Arrival (DOA)
604,Brighton Heights,9998 Overdose Other
1604,Brighton Heights,3745 Accidents Involving Damage to Unattended Veh.or Prop.
1648,Brighton Heights,9994 PFA Service
1222,Brighton Heights,9994 PFA Service
1814,Brighton Heights,3921(a) Theft by Unlawful Taking or Disposition - Movable item
485,Brighton Heights,3921(a) Theft by Unlawful Taking or Disposition - Movable item
1438,Brighton Heights,3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another
522,Brighton Heights,9994 PFA Service
1857,Brighton Heights,13(a)(31) Marijuana: Possession Small Amount / 3323 Stop Signs and Yield Signs.
1917,Brighton Heights,9017 Found Drugs / 9998 Overdose Other
654,Brighton Heights,"3925 Receiving Stolen Property. / 6106 Firearms not to be Carried without a License. / 13(a)(32) Paraphernalia - Use or Possession / 13(a)(31) Marijuana: Possession Small Amount / 3323 Stop Signs and Yield Signs. / 3111 Obedience to Traffic-Control Devices. / 6105(a)(1) Persons not to possess, use, manufacture, control, sell or transfer firearms: Former Convict enumerated in subsection (b)"
1499,Brighton Heights,3743 Accidents Involving Damage to Attended Veh. or Property
1798,Brighton Heights,3745 Accidents Involving Damage to Unattended Veh.or Prop.
1030,Brighton Heights,3736 Reckless Driving / 3802(a)(1) DUI - General Impairment
461,Brighton Heights,9498 302 (Mental)
1743,Brighton Heights,3921 Theft by Unlawful Taking or Disposition. / 3928 Unauthorized Use of Automobile and Other Vehicles.
1500,Brighton Heights,2709(a) Harassment.
790,Brighton Heights,2709(a) Harassment.
950,Brighton Heights,3743 Accidents Involving Damage to Attended Veh. or Property
1880,Brighton Heights,3743 Accidents Involving Damage to Attended Veh. or Property
814,Brighton Heights,9999 9999 - (Misc. Incident): 
597,Brighton Heights,9498 302 (Mental)
1169,Brighton Heights,3802(a)(1) DUI - General Impairment / 1786 Required Financial Responsibility. / 1543 Driving While Operating Privilege is Suspended or Revoked.
407,Brighton Heights,9012 Non-Violent Domestic
1701,Brighton Heights,3743 Accidents Involving Damage to Attended Veh. or Property
830,Brighton Heights,"2701(a)(1) Simple Assault - Intent., Know., Reckless.Cause Bod. Injury / 2718(a)(1) Strangulation - Applying Pressure to the Throat or Neck"
190,Brighton Heights,13(a)(12) Obtaining Cont. Subst. by Fraudulent Means
2201,Brighton Heights,3743 Accidents Involving Damage to Attended Veh. or Property
2336,Brighton Heights,2709(a)(4) Harassment Communicates Prohibited Acts
131,Brighton Heights,3745 Accidents Involving Damage to Unattended Veh.or Prop.
2832,Brighton Heights,3934 Theft from Vehicle / 4106 Access Device Fraud
2185,Brighton Heights,9999 9999 - (Misc. Incident): 
2790,Brighton Heights,3503 Criminal Trespass
